Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Firefox 58.0,,2018-04-23 13:10:24,2018-04-23 13:10:46,"21,669s",PASSED
,,,,,,
Test Cases/LoginKO,Firefox 58.0,,2018-04-23 13:10:24,2018-04-23 13:10:34,"9,807s",PASSED
openBrowser,Firefox 58.0,,2018-04-23 13:10:25,2018-04-23 13:10:29,"4,267s",PASSED
navigateToUrl,Firefox 58.0,,2018-04-23 13:10:29,2018-04-23 13:10:31,"2,375s",PASSED
setText,Firefox 58.0,,2018-04-23 13:10:31,2018-04-23 13:10:32,"0,182s",PASSED
setText,Firefox 58.0,,2018-04-23 13:10:32,2018-04-23 13:10:32,"0,106s",PASSED
click,Firefox 58.0,,2018-04-23 13:10:32,2018-04-23 13:10:33,"1,736s",PASSED
click,Firefox 58.0,,2018-04-23 13:10:33,2018-04-23 13:10:34,"0,261s",PASSED
click,Firefox 58.0,,2018-04-23 13:10:34,2018-04-23 13:10:34,"0,250s",PASSED
closeBrowser,Firefox 58.0,,2018-04-23 13:10:34,2018-04-23 13:10:34,"0,242s",PASSED
,,,,,,
Test Cases/LoginOK,Firefox 58.0,,2018-04-23 13:10:34,2018-04-23 13:10:46,"11,308s",PASSED
openBrowser,Firefox 58.0,,2018-04-23 13:10:34,2018-04-23 13:10:38,"3,195s",PASSED
navigateToUrl,Firefox 58.0,,2018-04-23 13:10:38,2018-04-23 13:10:42,"4,509s",PASSED
setText,Firefox 58.0,,2018-04-23 13:10:42,2018-04-23 13:10:42,"0,145s",PASSED
setText,Firefox 58.0,,2018-04-23 13:10:42,2018-04-23 13:10:42,"0,071s",PASSED
click,Firefox 58.0,,2018-04-23 13:10:42,2018-04-23 13:10:45,"2,662s",PASSED
click,Firefox 58.0,,2018-04-23 13:10:45,2018-04-23 13:10:45,"0,274s",PASSED
closeBrowser,Firefox 58.0,,2018-04-23 13:10:45,2018-04-23 13:10:46,"0,258s",PASSED
